Century,Sentiments,Word Diversity,Number of Words,Average Word Length,Number of Adjectives,Number of Adpositions,Number of Adverbs,Number of Conjunctions,Number of Determiners,Number of Nouns,Number of Numerals,Number of Particles,Number of Pronouns,Number of Verbs
17,0.15170317664998517,0.5244474212993971,1493,4.695914266577361,0.12726054922973878,0.12592096450100468,0.05760214333556597,0.044876088412592094,0.10984594775619558,0.29336905559276627,0.0,0.02344273275284662,0.072337575351641,0.14400535833891492
17,0.011116734718885263,0.45524899057873486,2972,4.725100942126514,0.11709286675639301,0.1059892328398385,0.04676985195154778,0.05484522207267833,0.12213997308209959,0.3186406460296097,0.0016823687752355316,0.0211978465679677,0.04576043068640646,0.16588156123822342
17,-0.24097222222222223,0.6532663316582915,199,3.763819095477387,0.12060301507537688,0.09045226130653267,0.09045226130653267,0.01507537688442211,0.08040201005025126,0.2914572864321608,0.0,0.020100502512562814,0.12060301507537688,0.1658291457286432
17,0.17777777777777778,0.5483870967741935,93,3.2580645161290325,0.03225806451612903,0.0967741935483871,0.010752688172043012,0.06451612903225806,0.13978494623655913,0.3010752688172043,0.0,0.0,0.10752688172043011,0.24731182795698925
17,0.26694214876033057,0.7904761904761904,105,4.3238095238095235,0.11428571428571428,0.08571428571428572,0.0761904761904762,0.05714285714285714,0.09523809523809523,0.2571428571428571,0.0,0.02857142857142857,0.05714285714285714,0.22857142857142856
17,0.17772108843537415,0.6511627906976745,86,3.9186046511627906,0.046511627906976744,0.18604651162790697,0.03488372093023256,0.03488372093023256,0.1744186046511628,0.2558139534883721,0.0,0.0,0.09302325581395349,0.1744186046511628
17,0.16715167548500875,0.6517241379310345,290,4.517241379310345,0.12413793103448276,0.10344827586206896,0.06896551724137931,0.05862068965517241,0.09310344827586207,0.30689655172413793,0.0034482758620689655,0.017241379310344827,0.07241379310344828,0.15172413793103448
17,0.29693877551020403,0.8653846153846154,52,4.403846153846154,0.09615384615384616,0.11538461538461539,0.07692307692307693,0.057692307692307696,0.038461538461538464,0.3076923076923077,0.0,0.0,0.15384615384615385,0.15384615384615385
17,0.16996527777777776,0.5185185185185185,216,4.574074074074074,0.12037037037037036,0.05555555555555555,0.0787037037037037,0.041666666666666664,0.12037037037037036,0.3425925925925926,0.0,0.037037037037037035,0.023148148148148147,0.18055555555555555
17,0.3519444444444444,0.6170212765957447,47,3.8085106382978724,0.10638297872340426,0.10638297872340426,0.0851063829787234,0.10638297872340426,0.10638297872340426,0.2978723404255319,0.0,0.02127659574468085,0.0425531914893617,0.1276595744680851
17,0.09897959183673469,0.6717171717171717,198,4.232323232323233,0.10101010101010101,0.08080808080808081,0.045454545454545456,0.030303030303030304,0.12626262626262627,0.35858585858585856,0.0,0.020202020202020204,0.0707070707070707,0.16666666666666666
17,0.06771428571428573,0.4819672131147541,1830,4.693989071038251,0.11693989071038251,0.08306010928961749,0.02459016393442623,0.025136612021857924,0.09508196721311475,0.4453551912568306,0.001092896174863388,0.018032786885245903,0.018579234972677595,0.17049180327868851
17,-0.007350427350427371,0.8142857142857143,140,4.492857142857143,0.12857142857142856,0.1,0.09285714285714286,0.02857142857142857,0.08571428571428572,0.3,0.02142857142857143,0.02857142857142857,0.03571428571428571,0.17857142857142858
17,0.1164583333333333,0.4479166666666667,288,4.065972222222222,0.09722222222222222,0.11458333333333333,0.020833333333333332,0.013888888888888888,0.13541666666666666,0.2673611111111111,0.003472222222222222,0.03819444444444445,0.12152777777777778,0.1875
17,0.027518518518518515,0.5947955390334573,269,4.159851301115242,0.06691449814126393,0.08178438661710037,0.08921933085501858,0.048327137546468404,0.10780669144981413,0.241635687732342,0.0037174721189591076,0.040892193308550186,0.09665427509293681,0.22304832713754646
17,0.24285714285714285,0.6829268292682927,82,3.8780487804878048,0.07317073170731707,0.0975609756097561,0.07317073170731707,0.012195121951219513,0.0975609756097561,0.3170731707317073,0.0,0.04878048780487805,0.0975609756097561,0.18292682926829268
